id,date,time,crime_type,city,state,location_description,victim_age,victim_gender,victim_race
1,09-09-2022,18:58:57,Homicide,Philadelphia,PA,9916 Broadway,34,Male,Other
2,10-07-2022,12:10:59,Assault,Phoenix,AZ,6853 Oak St,13,Female,Black
3,31-12-2024,09:26:12,Burglary,San Antonio,TX,3760 Maple Ave,23,Male,Asian
4,12-04-2024,23:17:28,Vandalism,Philadelphia,PA,6781 Main St,36,Other,Asian
5,19-07-2023,04:49:39,Fraud,San Antonio,TX,3239 Broadway,26,Other,Other
6,30-09-2021,03:17:56,Drug Offense,Chicago,IL,635 Oak St,70,Non-binary,Other
7,22-11-2024,08:41:48,Homicide,Philadelphia,PA,2725 Pine St,48,Other,Asian
8,09-12-2023,08:10:36,Drug Offense,Houston,TX,457 Pine St,47,Non-binary,Asian
9,06-08-2020,04:13:54,Fraud,Houston,TX,7584 Oak St,28,Other,Black
10,09-04-2024,07:18:22,Domestic Violence,San Diego,CA,9233 Main St,44,Female,White
11,11-03-2023,02:36:36,Arson,New York,NY,9278 Elm St,29,Non-binary,Hispanic
12,13-04-2023,22:33:27,Burglary,Chicago,IL,5313 Pine St,20,Female,Other
13,27-07-2022,12:36:44,Domestic Violence,New York,NY,6760 Oak St,30,Other,Hispanic
14,03-02-2022,00:03:33,Theft,San Diego,CA,9702 Elm St,17,Male,Other
15,04-09-2020,06:02:52,Theft,Dallas,TX,786 Oak St,53,Other,White
16,08-10-2022,05:15:36,Homicide,New York,NY,130 Main St,29,Male,Black
17,03-05-2021,18:08:12,Vandalism,Los Angeles,CA,1874 Elm St,90,Female,Asian
18,17-04-2023,05:15:45,Robbery,Philadelphia,PA,8306 Pine St,39,Other,Asian
19,21-04-2024,08:11:18,Domestic Violence,Chicago,IL,9418 Pine St,61,Male,Hispanic
20,13-04-2022,17:50:42,Robbery,Chicago,IL,9097 Broadway,38,Non-binary,Black
21,11-04-2021,13:29:16,Robbery,San Antonio,TX,2022 Oak St,60,Female,Other
22,02-05-2021,18:27:55,Theft,Philadelphia,PA,2397 Elm St,25,Non-binary,White
23,22-03-2025,17:48:24,Burglary,Chicago,IL,6803 Pine St,90,Non-binary,Hispanic
24,27-11-2024,11:13:43,Burglary,San Antonio,TX,841 Oak St,40,Male,Black
25,18-04-2025,19:27:42,Vandalism,Los Angeles,CA,5908 Pine St,34,Other,Black
26,29-04-2025,22:26:29,Theft,San Diego,CA,6420 Pine St,34,Female,Black
27,31-07-2020,12:37:25,Domestic Violence,Philadelphia,PA,960 Pine St,29,Male,Asian
28,31-10-2022,21:11:58,Fraud,Houston,TX,5435 Main St,16,Female,Hispanic
29,18-12-2020,23:44:06,Assault,Dallas,TX,5734 Broadway,41,Male,Other
30,05-01-2023,13:16:06,Domestic Violence,Houston,TX,1677 Elm St,60,Male,Hispanic
31,15-12-2021,02:59:11,Burglary,Philadelphia,PA,5657 Main St,71,Non-binary,Other
32,19-08-2021,23:22:06,Drug Offense,San Antonio,TX,5146 Broadway,62,Female,Hispanic
33,27-02-2023,11:34:52,Vandalism,Phoenix,AZ,62 Oak St,45,Non-binary,Asian
34,31-10-2020,02:59:27,Fraud,Los Angeles,CA,8978 Broadway,66,Other,Hispanic
35,09-09-2024,06:55:24,Homicide,New York,NY,2205 Maple Ave,25,Female,Black
36,22-01-2023,19:26:08,Burglary,Los Angeles,CA,7051 Broadway,53,Other,Black
37,23-10-2020,03:32:52,Domestic Violence,Philadelphia,PA,9007 Oak St,67,Female,Hispanic
38,06-05-2021,12:00:53,Arson,Chicago,IL,6896 Oak St,65,Other,Hispanic
39,26-05-2022,13:22:45,Domestic Violence,Houston,TX,1537 Main St,77,Other,Hispanic
40,19-07-2021,22:10:28,Arson,Los Angeles,CA,7582 Elm St,46,Female,Black
41,25-09-2021,10:45:32,Burglary,Phoenix,AZ,860 Pine St,40,Female,Black
42,20-03-2025,20:54:05,Homicide,New York,NY,8884 Elm St,51,Other,Hispanic
43,12-03-2024,02:04:32,Assault,San Antonio,TX,4791 Broadway,23,Male,Other
44,22-08-2024,19:07:49,Burglary,New York,NY,2071 Main St,69,Other,Black
45,24-11-2024,22:13:00,Assault,Dallas,TX,8072 Elm St,30,Male,Hispanic
46,07-09-2022,16:30:49,Assault,San Antonio,TX,8122 Main St,30,Non-binary,Asian
47,08-08-2021,13:23:27,Robbery,Los Angeles,CA,1061 Pine St,36,Non-binary,White
48,25-01-2021,22:41:26,Arson,New York,NY,9898 Main St,52,Male,Hispanic
49,26-08-2020,11:38:13,Burglary,Dallas,TX,2983 Maple Ave,82,Non-binary,White
50,22-05-2022,23:53:37,Drug Offense,Chicago,IL,424 Main St,41,Non-binary,Asian
51,02-12-2023,05:32:02,Robbery,Houston,TX,3175 Main St,46,Male,Asian
52,07-01-2023,21:19:28,Assault,Los Angeles,CA,8643 Maple Ave,74,Male,White
53,05-01-2022,15:12:41,Homicide,San Jose,CA,8873 Elm St,56,Male,White
54,24-07-2021,12:26:35,Arson,Houston,TX,393 Elm St,81,Male,Black
55,26-03-2022,03:29:57,Arson,Phoenix,AZ,9571 Broadway,64,Other,Other
56,11-10-2023,04:17:30,Drug Offense,San Diego,CA,2489 Oak St,67,Non-binary,Black
57,02-05-2025,19:06:39,Burglary,Dallas,TX,1850 Elm St,20,Other,Asian
58,18-12-2024,14:01:18,Assault,Los Angeles,CA,9401 Main St,55,Other,White
59,04-04-2022,13:14:47,Burglary,Phoenix,AZ,1537 Pine St,14,Male,White
60,05-10-2020,08:34:56,Assault,Houston,TX,16 Main St,64,Female,Asian
61,16-02-2022,19:15:03,Burglary,San Jose,CA,5164 Oak St,40,Male,White
62,09-09-2021,02:27:51,Arson,San Jose,CA,9566 Broadway,28,Male,Asian
63,13-08-2023,04:13:16,Domestic Violence,Philadelphia,PA,9038 Oak St,82,Other,Black
64,09-02-2023,19:05:25,Domestic Violence,San Antonio,TX,9607 Broadway,34,Female,White
65,10-01-2023,23:48:26,Theft,Houston,TX,8155 Elm St,35,Non-binary,Black
66,04-11-2020,14:20:57,Vandalism,Dallas,TX,5617 Oak St,90,Male,Hispanic
67,24-10-2023,17:20:03,Domestic Violence,New York,NY,1167 Pine St,74,Non-binary,Other
68,10-06-2024,05:35:39,Burglary,San Diego,CA,186 Broadway,14,Male,Asian
69,26-12-2020,09:00:48,Theft,San Antonio,TX,7635 Main St,26,Male,Black
70,05-08-2024,06:56:19,Domestic Violence,Houston,TX,9329 Broadway,33,Other,Other
71,14-11-2023,01:53:10,Assault,San Diego,CA,3412 Main St,27,Male,Black
72,14-02-2023,17:48:45,Robbery,Los Angeles,CA,5325 Elm St,59,Non-binary,White
73,13-05-2022,16:36:02,Arson,Chicago,IL,6481 Main St,26,Other,White
74,13-04-2023,02:41:24,Vandalism,Chicago,IL,8414 Oak St,67,Non-binary,Hispanic
75,16-09-2024,02:17:31,Assault,Los Angeles,CA,1254 Oak St,62,Male,Black
76,02-05-2022,22:16:39,Arson,Phoenix,AZ,2589 Oak St,56,Other,Hispanic
77,29-10-2021,05:28:11,Fraud,Dallas,TX,8318 Pine St,65,Non-binary,Asian
78,26-04-2025,15:20:56,Burglary,Los Angeles,CA,5269 Main St,24,Female,Asian
79,12-08-2024,06:33:11,Homicide,Houston,TX,924 Pine St,52,Male,Hispanic
80,03-08-2023,04:39:10,Burglary,San Diego,CA,4340 Maple Ave,50,Female,Asian
81,27-05-2023,06:25:14,Domestic Violence,San Jose,CA,2261 Elm St,70,Female,Other
82,22-04-2022,02:04:27,Burglary,Phoenix,AZ,4441 Elm St,44,Female,Asian
83,08-12-2022,18:20:22,Drug Offense,Philadelphia,PA,648 Maple Ave,43,Female,Other
84,25-02-2021,06:27:40,Homicide,San Jose,CA,1114 Elm St,39,Male,Black
85,19-04-2023,20:15:11,Vandalism,Philadelphia,PA,4833 Maple Ave,16,Other,Asian
86,01-11-2023,09:54:38,Arson,New York,NY,963 Maple Ave,53,Male,Asian
87,27-06-2021,16:10:58,Domestic Violence,San Diego,CA,9462 Main St,75,Female,Hispanic
88,22-03-2025,04:01:31,Arson,Los Angeles,CA,5074 Oak St,90,Other,Black
